Definition	Konzept
geronnene Milch, aus der Käse gemacht wird; Käsmatte	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
geronnene ungekochte Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
gestockte junge Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
gierig und deutlich vernehmbar trinken	Trinken.Geräuschvoll_trinken; Trinken.Schnell_große_Mengen_trinken
grob von Menschen gesagt, trinken	Trinken
großer Durst, wie er bei Musikanten üblich ist	Durst
großes Verlangen nach Kaffee	Durst
guter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
guter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
gärender Most	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
hastig trinken	Trinken.Schnell_große_Mengen_trinken
heftiger Durst	Durst
heimlich trinken	Trinken.Alkohol_trinken
heller Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
helles Bier, Weizenbier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
himmlischer Wein im Kinderspiel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
hochprozentiger Alkohol	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
häufig, wiederholt trinken	Trinken.Hohe_Frequenz_Dauer
häufiges Trinken	Trinken.Hohe_Frequenz_Dauer
im Gasthaus etwas trinken, verzehren; Gelage abhalten	Trinken.Alkohol_trinken
im März gebrautes Lagerbier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
im Übermaß Alkohol trinken, sich betrinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
in Flaschen an den Verbraucher gelieferte Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
in Schoppen vom Faß ausgeschenkter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
in aller Frühe getrunkener Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
in großen Zügen trinken	Trinken.Schnell_große_Mengen_trinken
in kleinen Schlucken austrinken	Trinken.Austrinken; Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlucken genießerisch trinken, langsam trinken, nuckeln	Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlucken trinken	Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlucken trinken, nippen	Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlucken, genießerisch trinken	Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlucken, schlürfend trinken	Trinken.Geräuschvoll_trinken; Trinken.Langsam_kleine_Mengen_trinken
in kleinen Schlückchen trinken	Trinken.Langsam_kleine_Mengen_trinken
in wiederholten kleinen Zügen langsam Flüssigkeit zu sich nehmen, nippen	Trinken.Häufig_lange_trinken; Trinken.Langsam_kleine_Mengen_trinken
junger, noch gärender Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
kleine Schlücke nehmen, aber anhaltend dabei bleiben	Trinken.Häufig_lange_trinken; Trinken.Langsam_kleine_Mengen_trinken
kleiner Abendtrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
kleines Fäßchen mit Wein oder Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
kleines Fäßchen mit Wein, das man auf die Jagd mitnimmt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
kleines Trinkglas, bzw. dessen Inhalt	Getränk
kohlensäurehaltiges Mineralwasser, Sprudel	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
kohlensäurehaltiges Trinkwasser, Mineralwasser, Kurgetränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
lange Zeit zechen	Trinken.Alkohol_trinken; Trinken.Häufig_lange_trinken
langsam saugen	Trinken.Langsam_kleine_Mengen_trinken
langsam trinken	Trinken.Langsam_kleine_Mengen_trinken
langsam, in kleinen Schlücken, mit Genuß trinken	Trinken.Langsam_kleine_Mengen_trinken
leer saufen	Trinken.Austrinken
leer saufen, leer trinken	Trinken.Austrinken
leersaufen	Trinken.Austrinken
leertrinken	Trinken.Austrinken
leichter Wein, der gewonnen wird, wenn man nach dem Pressen der Trauben die Träber mit Wasser übergiesst und nach einem Zuckerzusatz nochmals gären lässt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
leichter Wein, hergestellt durch Vermischen mit Wasser oder durch Übergiessen der Treber	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
letzter Schoppen, der vor dem Nachhausegehen im Stehengetrunken wird	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
likör	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
löschen Feuer, Durst, Staub	Trinken
minderer Wein, der als Haustrunk dient	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger Wein aus schieferigem Boden	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger Wein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger Wein, dünner Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
minderwertiger, schlechter Wein; Tresterwein, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
mit Gersten- und Weizenmalz gebrautes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
mit Hefe durchsetzter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
mit Himbeerensaft gesüßtes Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit Honig gesüßte Limonade	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit Honig gesüßter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
mit Honig gesüßtes Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit Sodawasser gemischter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
mit Trinken vergeuden	Trinken.Alkohol_trinken
mit Wermut 1b hergestelltes bitteres alkoholisches Getränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
mit Zitronensaft gemischtes Wasser	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit Zucker und Wasser angerührtes Getränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit bestimmten Zusätzen versehenes Wasser als Getränk	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Softdrink
mit dem Saufen Trinken beginnen	Trinken
mit erhobenem Glas grüßen, zuprosten, zum Trinken  auffordern	Trinken
mit jemandem aus einem Gefäß trinken, an einem Trinkgelage teilnehmen	Trinken
mitzechen	Trinken.Alkohol_trinken
nach einem anderen aus demselben Gefäß trinken	Trinken
nachgemachter Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
neuer Wein, Federweißer, Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
neuer, noch gärender Wein mit prickelndem Geschmack	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
nicht angesäuerte Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
nippen; essen od. trinken wie einer, dem es nicht recht schmeckt	Trinken.Langsam_kleine_Mengen_trinken
noch nicht ausgegorener, trüber Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
nur im Sommertagslied: Bezeichnung für süßen Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
oben heruntersaufen	Trinken
oft trinken	Trinken.Hohe_Frequenz_Dauer
rasch trinken	Trinken.Schnell_große_Mengen_trinken
regelmäßig und zuviel Alkohol trinken	Trinken.Alkohol_trinken; Trinken.Häufig_lange_trinken; Trinken.Schnell_große_Mengen_trinken
reihum trinken auf jemandes Wohl	Trinken
rötlicher Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
rötlicher Wein aus roten oder blauen Trauben	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
sauer Milch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
saufen	Trinken.Alkohol_trinken
saugend austrinken	Trinken.Austrinken
saurer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
saurer Wein, Tresterwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
saurer Wein, der vermöge seiner Weinsteinsäure den Schleim im Rachen gerinnen macht und ablöst	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
saurer, minderwertiger, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
saurer, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
saurer, schlechter Wein; Tresterwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schales Bier, Tropfbier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
schales, fades Getränk, dünner Kaffee	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
scharfer Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
scherzhaft für den lehmfarbigen neuen Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
scherzhafte Bezeichnung des Ludwigshafener Biers	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
schlechte Brühe überhaupt, bes. Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
schlechte Suppe, schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
schlechter Branntwein, Fusel	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
schlechter Branntwein, Fusel; schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
schlechter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter Wein, Tresterwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter Wein, minderwertiger Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter, dünner Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
schlechter, gepanschter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter, minderwertiger Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter, saurer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechter, saurer Wein; Haustrunk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechtes Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
schlechtes Getränk	Getränk
schlechtes Getränk, Wein und Bier	Getränk; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier; Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
schlechtes Kaffeegetränk	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
schlechtes, fades Getränk	Getränk
schlechtes, minderwertiges Getränk	Getränk
schluckweise trinken	Trinken.Langsam_kleine_Mengen_trinken
schlürfen, schlappern von Hunden; langsam und behaglich, langsam trinken	Trinken.Geräuschvoll_trinken; Trinken.Langsam_kleine_Mengen_trinken
schlürfen, trinken	Trinken.Geräuschvoll_trinken
schlürfend trinken	Trinken.Geräuschvoll_trinken
schnell trinken	Trinken.Schnell_große_Mengen_trinken
schwacher Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
sehr durstig sein vom Menschen	Durst
sehr großer Durst	Durst
sehr saurer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
sehr starker Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
selbstgebrautes Getränk aus Wasser, Honig und unvergorenem Bier	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
sich besinnungslos betrinken	Trinken.Alkohol_trinken
sich betrinken	Trinken.Alkohol_trinken
sich einen Dusel antrinken	Trinken.Alkohol_trinken
sich einen Rausch antrinken	Trinken.Alkohol_trinken
sich einen Schoppen Wein, einen Schnaps genehmigen	Trinken.Alkohol_trinken
sich einen kleinen Rausch antrinken	Trinken.Alkohol_trinken
sich leicht betrinken	Trinken.Alkohol_trinken
sich satttrinken	Trinken
sich volltrinken	Trinken.Alkohol_trinken
spöttisch saurer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
spöttische Bez. für den sehr sauren Wein des Jahres 1529	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
starker Durst	Durst
starker Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
starker Zwetschenschnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
süsser Apfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
süsser Traubenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
süßer Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
trinken	Trinken; Trinken.Alkohol_trinken; Trinken.Austrinken; Trinken.Schnell_große_Mengen_trinken
trinken vom Alkohol	Trinken.Alkohol_trinken
trinken, einen heben	Trinken.Alkohol_trinken
trinken, einen trinken	Trinken.Alkohol_trinken
trinken, gern und viel	Trinken.Schnell_große_Mengen_trinken
trinken, mehr scherzhaft gesagt	Trinken
trinken, zechen	Trinken.Alkohol_trinken
trinken, zechen, saufen	Trinken.Alkohol_trinken
trinken, zu trinken geben	Trinken
trinkend vergeuden	Trinken.Alkohol_trinken
trockener, harter Wein, der einen umwirft	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
träger, langsamer Mensch; schlechtes Getränk, insbes. dünner schwappelnder Kaffee	Getränk; Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
trübe Brühe	Getränk
trüber Rückstand von Flüssigkeiten, bes. dergetrübte letzte Wein im Faß	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
tüchtig einen trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
tüchtig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
tüchtig, viel trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
unvergorener Saft gekelterter Äpfel, Birnen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
unvergorener, süßer Traubensaft	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Saft
urspr. Trunk, der dem Gaste dargereicht wurde, wenn er sich schon zu Bett begeben hatte; später Trinkgelage, das sich an die Abendmahlzeit anschloss.	Getränk; Trinken
verpfändeter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
vertrinken	Trinken.Alkohol_trinken
verzuckerter Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
verächtlich Kaffeebrühe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
verächtlich von abgestandenem Bier und anderen Getränken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
viel Alkohol trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken, saufen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken, zechen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
von einem Teilnehmer einer Gesellschaft gestiftetes Getränk	Getränk
von einem Trinker als schwach bezeichneter Whisky	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
von oben wegtrinken	Trinken
von verdorbenem Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
vor dem Heimgehen an der Theke der Wirtschaft getrunkenes Getränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
was man auf einmal trinkt	Getränk
wilder Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
wässeriger Kaffee, dünne Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
zechen	Trinken.Alkohol_trinken
zechen, pokulieren, tüchtig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
zechen, saufen	Trinken.Alkohol_trinken
zechen, schlemmen	Trinken.Alkohol_trinken
zechen, trinken	Trinken.Alkohol_trinken
zu Ende schöppeln, trinken	Trinken.Alkohol_trinken; Trinken.Austrinken
zur Löschung des Durstes verbrauchen	Trinken
zutrinken, zuprosten	Trinken
übermäßig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
